collect_time,GDY_1,GDY_2,GDY_3,GDY_4,GDY_5,GDY_6,GDY_7,GDY_8,GDY_9,GDY_10,GDY_11,GDY_12,GDY_13,GDY_14,GDY_15,GDY_16,GDY_17,GDY_18,GDY_19,GDY_20,GDY_21,GDY_22,GDY_24,GDY_26,GDY_27,GDY_28,GDY_30,GDY_31,GDY_32,GDY_34,GDY_35,GDY_36,GDY_37,GDY_38,GDY_39,GDY_40
2023-11-20 11:20:00,62.04069,-7.058359,38.36303,66.530256,8.466785,86.618901,74.593101,6.319122,84.418133,79.54126,28.785593,40.431224,54.055801,22.260269,41.839342,51.461313,-25.243135,46.458811,-18.790208,,22.390509,19.440331,69.535146,56.044008,4.809606,50.352496,50.805063,52.284073,39.873657,-14.724237,26.663313,50.994006,43.324789,31.006708,-12.092249,16.715639
2023-11-20 11:30:00,62.04069,-7.058359,38.346954,66.52227,8.410043,86.610753,74.597703,6.368006,84.418133,79.525319,28.777421,40.423112,54.031143,22.192314,41.855327,51.437199,-25.291697,46.401521,-18.782046,,22.382576,19.440331,69.543025,56.05651,4.817685,50.344402,50.788731,52.267766,39.873657,-14.716115,26.683913,50.994006,43.316634,31.03081,-12.100481,16.723696
2023-11-20 11:40:00,62.00806,-7.058359,38.322839,66.506297,8.507316,86.594459,74.561105,6.29468,84.401995,79.525319,28.785593,40.406888,53.990046,22.11986,41.855327,51.38897,-25.299791,46.352414,-18.798369,,22.374643,19.440331,69.558784,56.040314,4.809606,50.352496,50.788731,52.218845,39.897783,-14.73236,26.671376,50.977901,43.316634,31.006708,-12.084018,16.723696
2023-11-20 11:50:00,61.999902,-7.058359,38.314801,66.490323,8.418149,86.586311,74.597703,6.270238,84.393926,79.501409,28.785593,40.382551,53.948949,22.071557,41.86332,51.332703,-25.315979,46.303308,-18.806531,,22.374643,19.448411,69.582423,56.040314,4.809606,50.336308,50.759966,52.194385,39.909352,-14.73236,26.679439,50.977901,43.332945,31.038844,-12.092249,16.731753
2023-11-20 12:00:00,61.991745,-7.058359,38.306763,66.466364,8.385724,86.545575,74.589704,6.196913,84.401995,79.477499,28.785593,40.366326,53.928452,22.055456,41.855327,51.316627,-25.324072,46.246017,-18.798369,,22.374643,19.440331,69.613941,55.991727,4.825764,50.368683,50.788731,52.186231,39.913868,-14.73236,26.679439,50.969849,43.324789,31.038844,-12.092249,16.739809
2023-11-20 12:10:00,61.967272,-7.058359,38.282649,66.45039,8.450573,86.537428,74.557708,6.033967,84.393926,79.469528,28.785593,40.341989,53.879135,22.023254,41.831349,51.268398,-25.332166,46.221464,-18.798369,,22.36671,19.432252,69.598182,55.955642,4.833844,50.352496,50.780566,52.169924,39.861099,-14.73236,26.687502,50.969849,43.316634,31.03081,-12.075786,16.739809
2023-11-20 12:20:00,61.934642,-7.050255,38.258534,66.442404,8.337088,86.504838,74.557708,6.001377,84.385856,79.437648,28.785593,40.30954,53.821599,21.966901,41.80737,51.22017,-25.364541,46.172358,-18.798369,,22.34291,19.424173,69.606061,55.915153,4.825764,50.344402,50.764234,52.145464,39.897783,-14.73236,26.687502,50.977901,43.332945,31.006708,-12.075786,16.739809
2023-11-20 12:30:00,61.910169,-7.058359,38.23442,66.42643,8.410043,86.480397,74.557708,5.838431,84.385856,79.397797,28.785593,40.285203,53.772283,21.918598,41.815363,51.204093,-25.380729,46.123252,-18.806531,,22.334977,19.408014,69.62182,55.931348,4.833844,50.344402,50.735468,52.121003,39.84953,-14.740482,26.671376,50.969849,43.332945,31.03081,-12.067554,16.739809
2023-11-20 12:40:00,61.877538,-7.050255,38.210306,66.410457,8.377618,86.464102,74.501715,5.797695,84.377787,79.365917,28.777421,40.268979,53.722967,21.898945,41.80737,51.171941,-25.388822,46.090514,-18.806531,,22.319111,19.391855,69.606061,55.931348,4.809606,50.328214,50.739736,52.08839,39.84953,-14.740482,26.671376,50.977901,43.324789,31.022776,-12.075786,16.747866
2023-11-20 12:50:00,61.861223,-7.042151,38.178153,66.394484,8.31277,86.415218,74.457118,5.797695,84.369718,79.342006,28.785593,40.252754,53.706528,21.866743,41.799378,51.163903,-25.413103,46.049592,-18.806531,,22.295312,19.375697,69.574543,55.834174,4.809606,50.312027,50.715239,52.072083,39.833445,-14.73236,26.663313,50.961796,43.324789,31.014742,-12.067554,16.747866
