collect_time,DD,FI,TI,BFO,BTO,TFO,TTO
2024/2/22 22:50,0.003932953,-0.000713333,0.000954667,0.172639936,1.000762939,0.139226913,1.025730133
2024/2/22 23:00,0.015209198,-0.000484429,0.001183733,0.177276433,1.012638092,0.135845199,1.029594421
2024/2/22 23:10,-0.013292313,-0.000347143,0.0010568,0.174458876,1.014083862,0.137470439,1.026237488
2024/2/22 23:20,0.011190414,-0.000466857,0.0009696,0.170160934,1.010169983,0.136225268,1.026512146
2024/2/22 23:30,0.002029419,-0.000562857,0.0008608,0.166142672,1.009250641,0.136014313,1.028949738
2024/2/22 23:40,-0.001800537,-0.000474,0.000788533,0.161468267,1.012619019,0.133870065,1.029212952
2024/2/22 23:50,0.004486084,-0.000372,0.000893067,0.163527235,1.01587677,0.132269681,1.028892517
2024/2/23 0:00,-0.003334045,-0.0002625,0.0006,0.15650335,1.020427704,0.135503426,1.02961731
2024/2/23 0:10,0.000663757,-0.000262857,0.000579467,0.154091686,1.02003479,0.133810237,1.02923584
2024/2/23 0:20,0.00670433,-0.00045619,0.000513778,0.151749119,1.010982513,0.133766711,1.026950836
2024/2/23 0:30,-0.001680374,-0.000484643,0.000469333,0.150938153,1.012924194,0.134510964,1.029884338
2024/2/23 0:40,-0.003631592,-0.000286048,0.000556889,0.152063146,1.020149231,0.132572442,1.030158997
2024/2/23 0:50,0.011058807,-0.000114786,0.000152,0.14010635,1.027835846,0.134786159,1.031852722
2024/2/23 1:00,0.007118225,0.00045381,0.000355667,0.144569203,1.048469543,0.132120639,1.032585144
2024/2/23 1:10,-0.021251678,-0.000103214,0.000785667,0.159791768,1.024074554,0.132293984,1.027687073
2024/2/23 1:20,-0.00617981,-0.000582286,0.000737333,0.158511415,1.00328064,0.132704929,1.023658752
2024/2/23 1:30,0.002269745,-0.000547262,0.000606667,0.154756591,1.008674622,0.133522853,1.027824402
2024/2/23 1:40,0.001163483,-0.000569881,0.001024333,0.165869668,1.009941101,0.13001886,1.029888153
2024/2/23 1:50,-0.018796921,-0.000535667,0.0005432,0.149937987,1.010326385,0.13092564,1.029075623
2024/2/23 2:00,-0.003116608,-0.0006825,0.000450133,0.150197208,1.007282257,0.134442508,1.031173706
2024/2/23 2:10,0.005231857,-0.000598,0.000254933,0.141712725,1.009090424,0.132790118,1.030021667
2024/2/23 2:20,0.014026642,-0.000770238,0.000483111,0.151421532,1.001358032,0.13451235,1.028316498
2024/2/23 2:30,-0.014123917,-0.000603929,0.000856933,0.165288627,1.009803772,0.135296136,1.030944824
2024/2/23 2:40,0.011602402,-0.000597571,0.000675111,0.156114236,1.010814667,0.132484883,1.031730652
2024/2/23 2:50,-0.006271362,-0.000874714,0.0003934,0.151648313,1.002922058,0.137880623,1.033535004
2024/2/23 3:00,0.013914108,-0.000899071,0.000556867,0.157233015,0.998268127,0.137742504,1.02973175
2024/2/23 3:10,-0.000226974,-0.000523429,0.000635467,0.155366391,1.01493454,0.133125335,1.033256531
2024/2/23 3:20,0.004882813,-0.000625429,0.000540533,0.152008653,1.00642395,0.133090228,1.028312683
2024/2/23 3:30,-0.003074646,-0.000641143,0.000492533,0.150393039,1.001251221,0.133154422,1.02368927
2024/2/23 3:40,0.002080917,-0.000644571,0.000484533,0.148898512,1.003433228,0.131939694,1.025993347
2024/2/23 3:50,-0.006595612,-0.000704,0.000380267,0.146199599,1.000053406,0.132890165,1.02469635
2024/2/23 4:00,-0.004644394,-0.000661786,0.000428667,0.148615748,1.003437042,0.133612514,1.026599884
2024/2/23 4:10,0.006250381,-0.000569429,0.000394667,0.144923627,1.004722595,0.131110534,1.024654388
2024/2/23 4:20,0.004425049,-0.000748857,0.000420533,0.146428868,0.998947144,0.13171041,1.025161743
2024/2/23 4:30,0.004392624,-0.000681143,0.000321267,0.142692775,1.002914429,0.131448358,1.026752472
2024/2/23 4:40,-0.000398636,-0.000747143,0.000546,0.151210397,1.002677917,0.13210012,1.028831482
2024/2/23 4:50,-0.008106232,-0.000552857,0.000253667,0.142309785,1.01007843,0.13343069,1.029434204
2024/2/23 5:00,0.006349564,-0.000475714,0.000431,0.147322178,1.010787964,0.132237494,1.027435303
2024/2/23 5:10,0.004001617,-0.0003975,0.000536,0.151234806,1.010799408,0.132474273,1.024711609
2024/2/23 5:20,-0.003162384,-0.000309643,0.000342,0.145844698,1.016334534,0.133875266,1.027175903
2024/2/23 5:30,-0.00422287,-0.000513429,0.000447467,0.148626477,1.011146545,0.132964745,1.02911377
2024/2/23 5:40,-0.001783371,-0.000567143,0.00026,0.142884746,1.007030487,0.133784294,1.026878357
2024/2/23 5:50,0.007709503,-0.000598286,0.000498667,0.149193734,1.007545471,0.131740272,1.028488159
2024/2/23 6:00,-0.006698608,-0.000700571,0.000706667,0.157057524,1.001411438,0.132326171,1.025928497
2024/2/23 6:10,0.007513046,-0.000216,0.000543733,0.149090171,1.021785736,0.130059808,1.029342651
2024/2/23 6:20,-0.010284424,-0.000562,0.000369867,0.146830976,1.007175446,0.133885279,1.026844025
2024/2/23 6:30,-0.004852295,-0.000715,0.000382667,0.150606737,1.001636505,0.137213349,1.026660919
2024/2/23 6:40,-0.002349854,-0.000757143,0.000479333,0.154569954,1.001724243,0.137793958,1.02822876
2024/2/23 6:50,-0.005247116,-0.000900238,0.000635333,0.159437478,0.997032166,0.137199521,1.028541565
2024/2/23 7:00,0.007846832,-0.000753929,0.000714333,0.161369771,1.00302124,0.136368215,1.029411316
2024/2/23 7:10,0.003257751,-0.000623143,0.000623467,0.160131842,1.003677368,0.138309553,1.025489807
2024/2/23 7:20,-0.000211716,-0.000806286,0.0004872,0.152978003,1.000305176,0.135925263,1.028526306
2024/2/23 7:30,0.00056076,-0.000769143,0.0004008,0.14855805,1.000091553,0.134530127,1.027008057
2024/2/23 7:40,0.008041382,-0.000438857,0.0003992,0.148992419,1.011051178,0.135019481,1.026412964
