collect_time,GDY_2,GDY_3,GDY_4,GDY_5,GDY_6,GDY_7,GDY_8,GDY_9,GDY_10,GDY_11,GDY_12,GDY_13,GDY_14,GDY_15,GDY_16,GDY_17,GDY_18,GDY_19,GDY_20,GDY_21,GDY_22,GDY_24,GDY_26,GDY_27,GDY_28,GDY_30,GDY_31,GDY_32,GDY_34,GDY_35,GDY_36,GDY_37,GDY_38,GDY_39,GDY_40
2024-02-22 16:30:00,-7.262526,58.788004,95.544984,20.239737,112.846656,82.70714,13.681305,100.375317,109.422647,34.545182,57.523868,72.094191,58.516063,76.973878,93.149323,-28.810814,68.160569,-19.592129,40.649399,74.002264,42.358087,69.506718,87.452043,7.522436,83.099965,91.842694,79.680899,80.720853,-12.891663,39.12333,43.332059,52.412792,34.030582,-14.196638,18.380037
2024-02-22 16:40:00,-7.254422,58.796042,95.55297,20.223525,112.879245,82.699141,13.673157,100.354717,109.430618,34.561526,57.548205,72.118849,58.516063,76.941906,93.165399,-28.794626,68.201491,-19.592129,40.673544,74.026063,42.374245,69.522477,87.403456,7.530515,83.116153,91.85086,79.689052,80.712811,-12.899786,39.131393,43.360711,52.420948,34.054684,-14.213102,18.380037
2024-02-22 16:50:00,-7.27063,58.80408,95.560957,20.231631,112.871098,82.70714,13.66501,100.354717,109.446558,34.553354,57.540093,72.127068,58.540215,76.957892,93.173437,-28.807133,68.201491,-19.592129,40.673544,74.010197,42.382325,69.522477,87.382856,7.538595,83.124247,91.834528,79.705359,80.720853,-12.899786,39.131393,43.360711,52.420948,34.062718,-14.20487,18.359437
2024-02-22 17:00:00,-7.262526,58.80408,95.560957,20.247843,112.89554,82.715139,13.656863,100.362786,109.446558,34.545182,57.56443,72.127068,58.532164,76.973878,93.181476,-28.799039,68.234229,-19.592129,40.681593,74.09746,42.390404,69.525515,87.427749,7.517995,83.124247,91.85086,79.705359,80.720853,-12.891663,39.131393,43.352659,52.412792,34.038616,-14.20487,18.359437
2024-02-22 17:10:00,-7.27063,58.80408,95.57693,20.239737,112.86295,82.731137,13.640568,100.362786,109.454528,34.545182,57.56443,72.143507,58.532164,76.965885,93.197552,-28.770345,68.242413,-19.592129,40.665496,74.057795,42.382325,69.517636,87.427749,7.534153,83.13234,91.859026,79.721666,80.74498,-12.899786,39.12333,43.340111,52.412792,34.054684,-14.213102,18.367494
2024-02-22 17:20:00,-7.27063,58.820156,95.548343,20.247843,112.919982,82.78713,13.616126,100.375317,109.470468,34.553354,57.556318,72.143507,58.556316,76.973878,93.20559,-28.782851,68.21786,-19.592129,40.689641,74.089527,42.398483,69.561874,87.419651,7.534153,83.148528,91.867191,79.72982,80.736937,-12.899786,39.131393,43.360711,52.429103,34.04665,-14.213102,18.380037
2024-02-22 17:30:00,-7.27063,58.820156,95.560957,20.247843,112.89554,82.827125,13.607979,100.370855,109.470468,34.545182,57.56443,72.143507,58.556316,76.98187,93.20559,-28.750477,68.238182,-19.592129,40.69769,74.057795,42.414642,69.561874,87.419651,7.534153,83.156622,91.875357,79.737973,80.74498,-12.883541,39.131393,43.360711,52.400348,34.04665,-14.213102,18.388094
2024-02-22 17:40:00,-7.262526,58.820156,95.584917,20.255949,112.887392,82.835124,13.591684,100.370855,109.478438,34.553354,57.56443,72.135288,58.572417,77.029827,93.213628,-28.750477,68.246366,-19.592129,40.705738,74.09746,42.398483,69.577633,87.452043,7.521633,83.164715,91.883523,79.737973,80.753022,-12.899786,39.131393,43.360711,52.412792,34.038616,-14.20487,18.388094
2024-02-22 17:50:00,-7.27063,58.828195,95.57693,20.255949,112.928129,82.851121,13.591684,100.399524,109.478438,34.561526,57.572542,72.151727,58.556316,77.045813,93.237742,-28.750477,68.275151,-19.592129,40.713786,74.045128,42.414642,69.601272,87.427749,7.529712,83.156622,91.899855,79.746127,80.753022,-12.891663,39.131393,43.340111,52.420948,34.059216,-14.20487,18.380037
2024-02-22 18:00:00,-7.27063,58.836233,95.592903,20.255949,112.936276,82.851121,13.583537,100.399524,109.502349,34.545182,57.604991,72.151727,58.580467,77.045813,93.245781,-28.742383,68.258782,-19.592129,40.721835,74.049862,42.414642,69.580672,87.443945,7.537791,83.180903,91.924352,79.75428,80.761064,-12.899786,39.139456,43.360711,52.412792,34.04665,-14.213102,18.39615
