collect_time,GDY_1,GDY_2,GDY_3,GDY_4,GDY_5,GDY_6,GDY_7,GDY_8,GDY_9,GDY_10,GDY_11,GDY_12,GDY_13,GDY_14,GDY_15,GDY_16,GDY_17,GDY_18,GDY_19,GDY_20,GDY_21,GDY_22,GDY_23,GDY_24,GDY_25,GDY_26,GDY_27,GDY_28,GDY_30,GDY_31,GDY_32,GDY_34,GDY_35,GDY_36,GDY_37,GDY_38,GDY_39,GDY_40
2023-08-03 18:00:00,7.02975,-1.156892,-4.330921,18.1324135,-18.718097,25.481428,,4.5322115,30.2015845,31.684805,-2.123883,12.700448,6.463384,-8.235633,10.436166,-0.4868335,-16.084559,-0.3389575,-13.709029999999998,-9.551012,-20.5795825,1.38274,-20.973466,,-20.003259,6.996141,-2.861587,13.348208,-2.2955445,0.575385,14.541326,-21.2956015,1.647864,9.793442,14.0624345,-10.826844999999999,-6.343733,2.922276
2023-08-03 18:10:00,7.0011985,-1.1528399999999999,-4.3389595,18.12842,-18.750522,25.448838,,4.6218315,30.2015845,31.668865,-2.099367,12.6842235,6.455113000000001,-8.255759000000001,10.436166,-0.5310435,-16.1025875,-0.36562649999999997,-13.709029999999998,-9.5671085,-20.6192475,1.38678,,,-19.995205,6.996141,-2.8575475,13.352255,-2.299627,0.571308,14.5292625,-21.3159075,1.655927,9.8135735,,-10.822828,-6.3169900000000005,2.9303325
2023-08-03 18:20:00,7.011498,-1.148788,-4.355036,18.120434,-18.750522,25.334776,,5.3083575,30.2257915,31.660895,-2.091195,12.672055,6.463332,-8.2678345,10.4424695,-0.575253,-16.1246625,-0.392156,-13.700868499999999,-9.575157,-20.654946000000002,1.3746605,-21.005717,,-20.0113135,6.9821480000000005,-2.851287,13.3460015,-2.299627,0.579462,14.52122,-21.348398,1.639801,9.8457835,14.1113675,-10.818811,-6.3581485,2.9303325
2023-08-03 18:30:00,7.050144,-1.169048,-4.337202,18.122747,-18.791052,25.285892,,5.04357,30.2257915,31.6290145,-2.099367,12.6558305,6.4756615,-8.2960115,10.3905165,-0.723958,-16.167337500000002,-0.4474705,-13.696788,-9.591254,-20.6827125,1.3908195,,,-20.0314505,6.976252,-2.875927,13.348208,-2.315959,0.559078,14.5654525,-21.376827,1.66399,9.88202,14.115445,-10.786674999999999,-6.360196500000001,2.922276
2023-08-03 18:40:00,7.0971535,-1.160944,-4.330921,18.1130805,-18.799158,25.196272,40.225754,4.6443525,30.1935155,31.609089,-2.087109,12.643661999999999,6.483881,-8.296011499999999,10.38652,-0.768168,-16.1853655,-0.4739995,-13.680464,-9.597051,-20.718411,1.38274,-21.037968,-1.746571,-20.0717235,6.968154,-2.875927,13.3563015,-2.305659,0.5509245,14.55741,-21.405256,1.72043,9.9061775,14.115445,-10.634029,-6.3025745,2.938389
2023-08-03 18:50:00,7.125705,-1.1731,-4.3389595,18.0788205,-18.855901,25.147388,,4.636205,30.1612395,31.597134,-2.0666789999999997,12.63555,6.5003195,-8.304062,10.382523500000001,-0.8204155,-16.221787499999998,-0.5149215,-13.676383000000001,-9.6435685,-20.888972,1.3787004999999999,,,-20.0999145,6.949756,-2.855327,13.360348,-2.315959,0.5020035,14.549368,-21.441808,1.760744,9.926309,,-10.557706,-6.341665,2.934361
2023-08-03 19:00:00,7.152114,-1.169048,-4.3389595,18.0628475,-18.880219,25.08221,,4.766562,30.1370325,31.585179,-2.0625925,12.631493500000001,6.47561,-8.3483395,10.378527,-0.4064525,-16.2824905,-0.543567,-13.664141,-9.6636895,-21.004001000000002,1.3746605,,,-20.116023499999997,6.9335605000000005,-2.863808,13.360348,-2.301576,0.461236,14.5292625,-21.478359,1.784932,9.950466500000001,14.082823,-10.465315,-6.3087585,2.9625589999999997
2023-08-03 19:10:00,7.2051385,-1.181204,-4.351017,18.0491875,-18.875832,24.99259,,4.5751005,30.1128255,31.569238,-2.0544205,12.615269,6.4550615,-8.457021000000001,10.362542,-0.8583445000000001,-16.355334,-0.5967655000000001,-13.651898,-9.6797865,-21.063499,1.362542,-21.460825,,-20.1562965,6.927665,-2.853508,13.364395,-2.30371,0.444929,14.5292625,-21.4946045,1.825247,9.974624,14.056211999999999,-10.405059999999999,-6.312874,2.9706155
2023-08-03 19:20:00,7.2317540000000005,-1.177152,-4.355036,18.020601,-18.96128,24.935558,,4.5832475,30.0966875,31.557282999999998,-2.0421625,12.6031005,6.4386225,-8.513374500000001,10.3585455,-1.0007685,-16.3652685,-0.6376875,-13.639656,-9.691859,-21.238026,1.3423435000000001,,,-20.1844875,6.911469,-2.853508,13.368442,-2.307793,0.4490055,14.5292625,-21.5270945,1.841372,9.9867025,14.066512,-10.336771,-6.3499175,2.9545025
2023-08-03 19:30:00,7.2521474999999995,-1.19336,-4.361317,18.018921,-18.977493,24.894822,39.921793,4.53029,30.068446,31.557282999999998,-2.029904,12.5787635,6.405745,-8.533501,10.3505525,-1.1012455,-16.363062499999998,-0.6581485,-13.631494,-9.724053,-21.633912,1.330224,-21.863967,-1.675656,-20.204624,6.891224,-2.853508,13.368442,-2.30371,0.449006,14.513178,-21.571769,1.865561,10.0108605,,-10.240363,-6.2943425,2.9706155
